Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),20.32,0.00,41.24,,,,,,20.46,,20.66,20.72,20.79,0.84
Active Decode Throughput Per User (tokens/sec/user),20.32,0.00,41.24,,,,,,20.46,,20.66,20.72,20.79,0.84
Active Prefill Throughput (tokens/sec),1020.29,1020.29,1020.29,,,,,,1020.29,,1020.29,1020.29,1020.29,0.00
Active Prefill Throughput Per User (tokens/sec/user),1020.29,1020.29,1020.29,,,,,,1020.29,,1020.29,1020.29,1020.29,0.00
Active Total Throughput (tokens/sec),996.49,20.32,1020.29,,,,,,1020.29,,1020.29,1020.29,1020.29,152.44
Credit-to-Start Latency (ms),1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,0.00
Decode Duration (ms),6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,6245.76,0.00
E2E Output Token Throughput (tokens/sec/user),0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.00
Effective Decode Concurrency,0.02,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.15
Effective Decode Throughput (tokens/sec),0.48,0.00,41.24,,,,,,0.00,,0.00,0.00,20.50,3.10
Effective Decode Throughput Per User (tokens/sec/user),0.48,0.00,41.24,,,,,,0.00,,0.00,0.00,20.50,3.10
Effective Latency (CO-aware) (ms),262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,262555.15,0.00
Effective Prefill Concurrency,0.98,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.15
Effective Prefill Throughput (tokens/sec),995.99,0.00,1020.29,,,,,,1020.29,,1020.29,1020.29,1020.29,155.58
Effective Prefill Throughput Per User (tokens/sec/user),995.99,0.00,1020.29,,,,,,1020.29,,1020.29,1020.29,1020.29,155.58
Effective Total Throughput (tokens/sec),996.47,0.00,1020.29,,,,,,1020.29,,1020.29,1020.29,1020.29,152.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,130.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.00
HTTP Connection Overhead (ms),1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,0.00
HTTP Data Sent (KB),1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,0.00
HTTP DNS Lookup (ms),0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.00
HTTP Duration (excl. conn) (ms),262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,262553.26,0.00
HTTP Receiving (ms),6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,6250.22,0.00
HTTP Sending (ms),1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.00
HTTP Total Time (ms),262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,262554.83,0.00
HTTP Waiting (TTFB) (ms),256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,256301.90,0.00
Input Sequence Length (tokens),261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,261504.00,0.00
Inter Chunk Latency (ms),49.18,48.08,62.17,6245.76,48.11,48.28,48.42,48.61,48.85,49.16,49.61,50.29,59.00,1.71
Inter Token Latency (ms),49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.18,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
