Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),52.52,0.00,186831.40,,,,,,23.89,,24.83,25.05,26.50,1362.66
Active Decode Throughput Per User (tokens/sec/user),52.52,0.00,186831.40,,,,,,23.89,,24.83,25.05,26.50,1362.66
Active Prefill Throughput (tokens/sec),1244.13,1244.13,1244.13,,,,,,1244.13,,1244.13,1244.13,1244.13,0.00
Active Prefill Throughput Per User (tokens/sec/user),1244.13,1244.13,1244.13,,,,,,1244.13,,1244.13,1244.13,1244.13,0.00
Active Total Throughput (tokens/sec),1230.58,52.53,1244.13,,,,,,1244.13,,1244.13,1244.13,1244.13,126.34
Credit-to-Start Latency (ms),1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,0.00
Decode Duration (ms),2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,2413.41,0.00
E2E Output Token Throughput (tokens/sec/user),0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.00
Effective Decode Concurrency,0.01,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.11
Effective Decode Throughput (tokens/sec),0.60,0.00,186831.40,,,,,,0.00,,0.00,0.00,22.34,145.41
Effective Decode Throughput Per User (tokens/sec/user),0.60,0.00,186831.40,,,,,,0.00,,0.00,0.00,22.34,145.41
Effective Latency (CO-aware) (ms),212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,212609.37,0.00
Effective Prefill Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Prefill Throughput (tokens/sec),1229.96,0.00,1244.13,,,,,,1244.13,,1244.13,1244.13,1244.13,131.98
Effective Prefill Throughput Per User (tokens/sec/user),1229.96,0.00,1244.13,,,,,,1244.13,,1244.13,1244.13,1244.13,131.98
Effective Total Throughput (tokens/sec),1230.56,0.00,1244.13,,,,,,1244.13,,1244.13,1244.13,1244.13,126.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,117.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00
HTTP Connection Overhead (ms),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.53,32.53,0.00
HTTP Data Sent (KB),1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,1113.25,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,212607.53,0.00
HTTP Receiving (ms),2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,2417.48,0.00
HTTP Sending (ms),0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.00
HTTP Total Time (ms),212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,212607.81,0.00
HTTP Waiting (TTFB) (ms),210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,210189.63,0.00
Input Sequence Length (tokens),261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,261503.00,0.00
Inter Chunk Latency (ms),19.00,0.00,63.20,2413.41,0.00,0.00,0.01,0.01,0.03,46.29,47.27,48.09,59.43,23.28
Inter Token Latency (ms),19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Throughput Per User (tokens/sec/user),52.62,52.62,52.62,52.62,52.62,52.62,52.62,52.62,52.62,52.62,52.62,52.62,52.62,0.00
Prefill Throughput Per User (tokens/sec/user),1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,1244.13,0.00
Request Latency (ms),212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,212603.51,0.00
Time to First Output Token (ms),210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,0.00
Time to First Token (ms),210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,210190.10,0.00
Time to Second Token (ms),49.86,49.86,49.86,49.86,49.86,49.86,49.86,49.86,49.86,49.86,49.86,49.86,49.86,0.00
Tokens In Flight (tokens),261500.29,0.00,261631.00,,,,,,261503.00,,261503.00,261503.00,261522.00,960.01

Metric,Value
Benchmark Duration (sec),212.60
Input Token Throughput (tokens/sec),1229.96
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),0.60
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.00
Total Input Sequence Length (tokens),261503.00
Total Output Sequence Length (tokens),128.00
Total Output Tokens (tokens),128.00
Total Token Throughput (tokens/sec),1230.57
