Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),147.21,0.00,304.87,,,,,,147.32,,149.65,150.47,186.64,6.92
Active Decode Throughput Per User (tokens/sec/user),147.21,0.00,304.87,,,,,,147.32,,149.65,150.47,186.64,6.92
Active Prefill Throughput (tokens/sec),8135.15,8135.15,8135.15,,,,,,8135.15,,8135.15,8135.15,8135.15,0.00
Active Prefill Throughput Per User (tokens/sec/user),8135.15,8135.15,8135.15,,,,,,8135.15,,8135.15,8135.15,8135.15,0.00
Active Total Throughput (tokens/sec),5729.75,147.21,8135.15,,,,,,8135.15,,8135.15,8135.15,8135.15,3664.46
Credit-to-Start Latency (ms),0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.00
Decode Duration (ms),3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,3471.23,0.00
E2E Output Token Throughput (tokens/sec/user),44.42,44.42,44.42,44.42,44.42,44.42,44.42,44.42,44.42,44.42,44.42,44.42,44.42,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.30,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.46
Effective Decode Throughput (tokens/sec),44.32,0.00,304.87,,,,,,0.00,,148.31,149.17,151.48,67.64
Effective Decode Throughput Per User (tokens/sec/user),44.32,0.00,304.87,,,,,,0.00,,148.31,149.17,151.48,67.64
Effective Latency (CO-aware) (ms),11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,11528.14,0.00
Effective Prefill Concurrency,0.70,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.46
Effective Prefill Throughput (tokens/sec),5684.32,0.00,8135.15,,,,,,8135.15,,8135.15,8135.15,8135.15,3732.47
Effective Prefill Throughput Per User (tokens/sec/user),5684.32,0.00,8135.15,,,,,,8135.15,,8135.15,8135.15,8135.15,3732.47
Effective Total Throughput (tokens/sec),5728.64,0.00,8135.15,,,,,,8135.15,,8135.15,8135.15,8135.15,3664.97
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,211.00,211.00,211.00,211.00,211.00,211.00,211.00,211.00,211.00,211.00,211.00,211.00,211.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,0.00
HTTP Data Sent (KB),279.83,279.83,279.83,279.83,279.83,279.83,279.83,279.83,279.83,279.83,279.83,279.83,279.83,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,0.00
HTTP Receiving (ms),3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,3471.24,0.00
HTTP Sending (ms),0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00
HTTP Total Time (ms),11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,11527.34,0.00
HTTP Waiting (TTFB) (ms),8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,8056.00,0.00
Input Sequence Length (tokens),65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,65538.00,0.00
Inter Chunk Latency (ms),16.53,12.02,20.95,3471.23,13.15,16.14,16.26,16.37,16.51,16.66,16.85,16.97,19.91,0.76
