Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),95.53,0.00,196.35,,,,,,96.77,,98.70,99.02,100.02,5.98
Active Decode Throughput Per User (tokens/sec/user),95.53,0.00,196.35,,,,,,96.77,,98.70,99.02,100.02,5.98
Active Prefill Throughput (tokens/sec),3236.61,3236.61,3236.61,,,,,,3236.61,,3236.61,3236.61,3236.61,0.00
Active Prefill Throughput Per User (tokens/sec/user),3236.61,3236.61,3236.61,,,,,,3236.61,,3236.61,3236.61,3236.61,0.00
Active Total Throughput (tokens/sec),2870.76,95.53,3236.61,,,,,,3236.61,,3236.61,3236.61,3236.61,1007.63
Credit-to-Start Latency (ms),1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,0.00
Decode Duration (ms),5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,5338.35,0.00
E2E Output Token Throughput (tokens/sec/user),11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),11.13,0.00,196.35,,,,,,0.00,,93.91,97.02,98.74,30.71
Effective Decode Throughput Per User (tokens/sec/user),11.13,0.00,196.35,,,,,,0.00,,93.91,97.02,98.74,30.71
Effective Latency (CO-aware) (ms),45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,45836.83,0.00
Effective Prefill Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),2859.43,0.00,3236.61,,,,,,3236.61,,3236.61,3236.61,3236.61,1038.52
Effective Prefill Throughput Per User (tokens/sec/user),2859.43,0.00,3236.61,,,,,,3236.61,,3236.61,3236.61,3236.61,1038.52
Effective Total Throughput (tokens/sec),2870.55,0.00,3236.61,,,,,,3236.61,,3236.61,3236.61,3236.61,1007.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,0.00
HTTP Data Sent (KB),560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,560.58,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,0.00
HTTP Receiving (ms),45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,45832.18,0.00
HTTP Sending (ms),0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.00
HTTP Total Time (ms),45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,45835.16,0.00
HTTP Waiting (TTFB) (ms),2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,0.00
Input Sequence Length (tokens),131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,131072.00,0.00
Inter Chunk Latency (ms),10.47,9.71,26.29,5338.35,10.00,10.10,10.13,10.24,10.33,10.48,10.71,10.88,12.97,0.91
Inter Token Latency (ms),10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.47,0.00
OSL Mismatch Diff % (%),-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,0.00
Output Sequence Length (tokens),511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,0.00
Output Token Count (tokens),511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,0.00
Output Token Throughput Per User (tokens/sec/user),95.54,95.54,95.54,95.54,95.54,95.54,95.54,95.54,95.54,95.54,95.54,95.54,95.54,0.00
Prefill Throughput Per User (tokens/sec/user),3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,3236.61,0.00
Request Latency (ms),45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,45835.04,0.00
Time to First Output Token (ms),40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,0.00
Time to First Token (ms),40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,40496.70,0.00
Time to Second Token (ms),26.29,26.29,26.29,26.29,26.29,26.29,26.29,26.29,26.29,26.29,26.29,26.29,26.29,0.00
Tokens In Flight (tokens),131092.06,0.00,131583.00,,,,,,131072.00,,131140.00,131362.00,131539.00,1118.75

Metric,Value
Benchmark Duration (sec),45.84
Input Token Throughput (tokens/sec),2859.43
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),11.15
Request Count,1.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),131072.00
Total Output Sequence Length (tokens),511.00
Total Output Tokens (tokens),511.00
Total Token Throughput (tokens/sec),2870.58
