Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),94.16,0.00,195.66,,,,,,95.15,,97.80,98.37,99.85,6.74
Active Decode Throughput Per User (tokens/sec/user),94.16,0.00,195.66,,,,,,95.15,,97.80,98.37,99.85,6.74
Active Prefill Throughput (tokens/sec),3246.46,3246.46,3246.46,,,,,,3246.46,,3246.46,3246.46,3246.46,0.00
Active Prefill Throughput Per User (tokens/sec/user),3246.46,3246.46,3246.46,,,,,,3246.46,,3246.46,3246.46,3246.46,0.00
Active Total Throughput (tokens/sec),3047.95,94.16,3246.46,,,,,,3246.46,,3246.46,3246.46,3246.46,765.74
Credit-to-Start Latency (ms),2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,0.00
Decode Duration (ms),5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,5394.72,0.00
E2E Output Token Throughput (tokens/sec/user),5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),5.93,0.00,195.66,,,,,,0.00,,0.00,92.79,97.14,22.94
Effective Decode Throughput Per User (tokens/sec/user),5.93,0.00,195.66,,,,,,0.00,,0.00,92.79,97.14,22.94
Effective Latency (CO-aware) (ms),85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,85840.47,0.00
Effective Prefill Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),3041.87,0.00,3246.46,,,,,,3246.46,,3246.46,3246.46,3246.46,788.87
Effective Prefill Throughput Per User (tokens/sec/user),3041.87,0.00,3246.46,,,,,,3246.46,,3246.46,3246.46,3246.46,788.87
Effective Total Throughput (tokens/sec),3047.80,0.00,3246.46,,,,,,3246.46,,3246.46,3246.46,3246.46,766.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,513.00,513.00,513.00,513.00,513.00,513.00,513.00,513.00,513.00,513.00,513.00,513.00,513.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.78,0.00
HTTP Data Sent (KB),1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,1111.57,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,0.00
HTTP Receiving (ms),85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,85834.49,0.00
HTTP Sending (ms),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.00
HTTP Total Time (ms),85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,85838.06,0.00
