Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),149.06,0.00,335.80,,,,,,147.14,,163.99,165.21,169.64,13.59
Active Decode Throughput Per User (tokens/sec/user),149.06,0.00,335.80,,,,,,147.14,,163.99,165.21,169.64,13.59
Active Prefill Throughput (tokens/sec),8013.24,7951.08,8063.01,,,,,,8026.46,,8063.01,8063.01,8063.01,46.66
Active Prefill Throughput Per User (tokens/sec/user),8013.24,7951.08,8063.01,,,,,,8026.46,,8063.01,8063.01,8063.01,46.66
Active Total Throughput (tokens/sec),3084.38,139.17,8063.01,,,,,,162.73,,8063.01,8063.01,8063.01,3803.77
Credit-to-Start Latency (ms),1.56,1.34,1.70,4.68,1.35,1.37,1.40,1.49,1.64,1.67,1.69,1.69,1.70,0.15
Decode Duration (ms),13733.14,12578.87,14708.15,41199.42,12605.54,12712.22,12845.58,13245.64,13912.40,14310.27,14549.00,14628.57,14692.23,878.47
E2E Output Token Throughput (tokens/sec/user),93.60,89.68,98.36,280.81,89.74,89.99,90.30,91.22,92.76,95.56,97.24,97.80,98.25,3.59
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.63,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.48
Effective Decode Throughput (tokens/sec),93.41,0.00,335.80,,,,,,140.64,,162.83,164.47,167.54,72.90
Effective Decode Throughput Per User (tokens/sec/user),93.41,0.00,335.80,,,,,,140.64,,162.83,164.47,167.54,72.90
Effective Latency (CO-aware) (ms),21913.29,20823.17,22837.60,65739.86,20848.29,20948.76,21074.35,21451.13,22079.09,22458.34,22685.90,22761.75,22822.43,830.70
Effective Prefill Concurrency,0.37,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.48
Effective Prefill Throughput (tokens/sec),2990.47,0.00,8063.01,,,,,,0.00,,8063.01,8063.01,8063.01,3875.73
