Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),151.18,0.00,310.26,,,,,,151.37,,154.15,154.56,173.49,6.84
Active Decode Throughput Per User (tokens/sec/user),151.18,0.00,310.26,,,,,,151.37,,154.15,154.56,173.49,6.84
Active Prefill Throughput (tokens/sec),7389.53,7389.53,7389.53,,,,,,7389.53,,7389.53,7389.53,7389.53,0.00
Active Prefill Throughput Per User (tokens/sec/user),7389.53,7389.53,7389.53,,,,,,7389.53,,7389.53,7389.53,7389.53,0.00
Active Total Throughput (tokens/sec),699.95,151.18,7389.53,,,,,,151.18,,151.18,7389.53,7389.53,1916.00
Credit-to-Start Latency (ms),0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.00
Decode Duration (ms),3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,0.00
E2E Output Token Throughput (tokens/sec/user),139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.92,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.27
Effective Decode Throughput (tokens/sec),139.64,0.00,310.26,,,,,,151.16,,154.11,154.55,173.49,40.68
Effective Decode Throughput Per User (tokens/sec/user),139.64,0.00,310.26,,,,,,151.16,,154.11,154.55,173.49,40.68
Effective Latency (CO-aware) (ms),3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,3657.92,0.00
Effective Prefill Concurrency,0.08,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),559.92,0.00,7389.53,,,,,,0.00,,0.00,7389.53,7389.53,1955.52
Effective Prefill Throughput Per User (tokens/sec/user),559.92,0.00,7389.53,,,,,,0.00,,0.00,7389.53,7389.53,1955.52
Effective Total Throughput (tokens/sec),699.56,0.00,7389.53,,,,,,151.18,,151.18,7389.53,7389.53,1915.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,206.00,206.00,206.00,206.00,206.00,206.00,206.00,206.00,206.00,206.00,206.00,206.00,206.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),55.14,55.14,55.14,55.14,55.14,55.14,55.14,55.14,55.14,55.14,55.14,55.14,55.14,0.00
HTTP Data Sent (KB),9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,0.00
HTTP Receiving (ms),3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,3380.12,0.00
HTTP Sending (ms),0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00
HTTP Total Time (ms),3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,3657.36,0.00
HTTP Waiting (TTFB) (ms),277.13,277.13,277.13,277.13,277.13,277.13,277.13,277.13,277.13,277.13,277.13,277.13,277.13,0.00
