Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),99.36,0.00,204.15,,,,,,100.59,,102.21,102.68,103.37,8.09
Active Decode Throughput Per User (tokens/sec/user),99.36,0.00,204.15,,,,,,100.59,,102.21,102.68,103.37,8.09
Active Prefill Throughput (tokens/sec),2252.22,2252.22,2252.22,,,,,,2252.22,,2252.22,2252.22,2252.22,0.00
Active Prefill Throughput Per User (tokens/sec/user),2252.22,2252.22,2252.22,,,,,,2252.22,,2252.22,2252.22,2252.22,0.00
Active Total Throughput (tokens/sec),992.21,99.36,2252.22,,,,,,99.36,,2252.22,2252.22,2252.22,1060.66
Credit-to-Start Latency (ms),0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.00
Decode Duration (ms),5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,5132.83,0.00
E2E Output Token Throughput (tokens/sec/user),58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,58.27,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.59,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.49
Effective Decode Throughput (tokens/sec),58.13,0.00,204.15,,,,,,98.74,,101.82,102.28,103.29,49.34
Effective Decode Throughput Per User (tokens/sec/user),58.13,0.00,204.15,,,,,,98.74,,101.82,102.28,103.29,49.34
Effective Latency (CO-aware) (ms),8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,8771.25,0.00
Effective Prefill Concurrency,0.41,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.49
Effective Prefill Throughput (tokens/sec),933.80,0.00,2252.22,,,,,,0.00,,2252.22,2252.22,2252.22,1109.57
Effective Prefill Throughput Per User (tokens/sec/user),933.80,0.00,2252.22,,,,,,0.00,,2252.22,2252.22,2252.22,1109.57
Effective Total Throughput (tokens/sec),991.93,0.00,2252.22,,,,,,99.36,,2252.22,2252.22,2252.22,1060.64
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,514.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,0.00
HTTP Data Sent (KB),35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,0.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,0.00
HTTP Receiving (ms),8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,8768.92,0.00
HTTP Sending (ms),0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.00
HTTP Total Time (ms),8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,8770.24,0.00
HTTP Waiting (TTFB) (ms),1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.00
Input Sequence Length (tokens),8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,8192.00,0.00
Inter Chunk Latency (ms),10.06,9.59,35.25,5132.83,9.67,9.74,9.78,9.86,9.94,10.03,10.16,10.25,10.85,1.36
Inter Token Latency (ms),10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,0.00
OSL Mismatch Diff % (%),-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,-0.20,0.00
Output Sequence Length (tokens),511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,0.00
Output Token Count (tokens),511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,511.00,0.00
Output Token Throughput Per User (tokens/sec/user),99.36,99.36,99.36,99.36,99.36,99.36,99.36,99.36,99.36,99.36,99.36,99.36,99.36,0.00
