Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),151.21,0.00,382.88,,,,,,151.28,,153.99,154.39,162.52,9.39
Active Decode Throughput Per User (tokens/sec/user),151.21,0.00,382.88,,,,,,151.28,,153.99,154.39,162.52,9.39
Active Prefill Throughput (tokens/sec),7534.71,7534.71,7534.71,,,,,,7534.71,,7534.71,7534.71,7534.71,0.00
Active Prefill Throughput Per User (tokens/sec/user),7534.71,7534.71,7534.71,,,,,,7534.71,,7534.71,7534.71,7534.71,0.00
Active Total Throughput (tokens/sec),4306.13,151.21,7534.71,,,,,,7534.71,,7534.71,7534.71,7534.71,3662.58
Credit-to-Start Latency (ms),0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.00
Decode Duration (ms),3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,3379.44,0.00
E2E Output Token Throughput (tokens/sec/user),66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.44,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.50
Effective Decode Throughput (tokens/sec),66.10,0.00,382.88,,,,,,0.00,,152.55,153.66,159.71,75.26
Effective Decode Throughput Per User (tokens/sec/user),66.10,0.00,382.88,,,,,,0.00,,152.55,153.66,159.71,75.26
Effective Latency (CO-aware) (ms),7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,7729.36,0.00
Effective Prefill Concurrency,0.56,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.50
Effective Prefill Throughput (tokens/sec),4238.71,0.00,7534.71,,,,,,7534.71,,7534.71,7534.71,7534.71,3737.75
Effective Prefill Throughput Per User (tokens/sec/user),4238.71,0.00,7534.71,,,,,,7534.71,,7534.71,7534.71,7534.71,3737.75
Effective Total Throughput (tokens/sec),4304.80,0.00,7534.71,,,,,,7534.71,,7534.71,7534.71,7534.71,3662.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,205.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.00
HTTP Connection Overhead (ms),0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
